21,22
0.77,0.329
0.742,0.305
0.704,0.294
0.729,0.311
0.744,0.311
0.728,0.299
0.713,0.289
0.732,0.313
0.752,0.349
0.766,0.338
0.756,0.272
0.726,0.243
0.726,0.251
0.735,0.294
0.765,0.392
0.806,0.488
0.846,0.492
0.89,0.473
0.92,0.468
0.935,0.472
0.956,0.488
0.961,0.506
0.966,0.523
0.973,0.531
0.976,0.55
0.972,0.566
0.969,0.576
0.961,0.574
0.954,0.557
0.958,0.55
0.949,0.558
0.915,0.568
0.91,0.608
0.887,0.539
0.854,0.504
0.853,0.45
0.837,0.459
0.847,0.459
0.856,0.494
0.863,0.548
0.887,0.561
0.869,0.533
0.848,0.466
0.829,0.431
0.79,0.391
0.752,0.379
0.694,0.372
0.66,0.353
0.654,0.337
0.656,0.323
0.698,0.311
0.725,0.313
0.804,0.328
0.859,0.364
0.913,0.43
0.945,0.498
0.962,0.538
0.978,0.645
0.98,0.756
0.967,0.718
0.95,0.673
0.947,0.623
0.942,0.649
0.941,0.666
0.938,0.67
0.932,0.692
0.921,0.739
0.926,0.766
0.93,0.773
0.938,0.768
0.947,0.753
0.956,0.778
0.962,0.778
0.962,0.769
0.961,0.739
0.958,0.672
0.954,0.562
0.947,0.522
0.931,0.492
0.894,0.464
0.845,0.39
0.794,0.341
0.734,0.23
0.71,0.213
0.747,0.273
0.789,0.368
0.846,0.422
0.882,0.433
0.885,0.4
0.863,0.359
0.82,0.346
0.809,0.308
0.801,0.261
0.732,0.267
0.656,0.251
0.613,0.207
0.523,0.155
0.358,0.141
0.268,0.126
0.246,0.12
0.251,0.134
0.29,0.163
0.454,0.218
0.619,0.292
0.747,0.345
0.776,0.328
0.759,0.34
0.734,0.381
0.722,0.352
0.734,0.337
0.745,0.341
0.755,0.374
0.767,0.415
0.804,0.43
0.815,0.414
0.806,0.388
0.819,0.37
0.814,0.375
0.82,0.382
0.848,0.402
0.899,0.415
0.913,0.442
0.942,0.519
0.964,0.622
0.971,0.695
0.974,0.64
0.977,0.694
0.986,0.77
0.977,0.762
0.974,0.698
0.976,0.657
0.977,0.59
0.976,0.562
0.971,0.668
0.967,0.664
0.951,0.575
0.964,0.61
0.959,0.762
0.963,0.69
0.96,0.546
0.944,0.529
0.905,0.571
0.938,0.723
0.91,0.697
0.905,0.676
0.922,0.675
0.932,0.659
0.968,0.67
0.98,0.686
