time,storage
5593,0.0
5594,82.72121314599165
5595,167.00718960937832
5596,249.8053517359672
5597,249.8053517359672
5598,249.8053517359672
5599,249.8053517359672
5600,224.90622516055288
5601,224.90622516055288
5602,224.90622516055288
5603,224.90622516055288
5604,224.90622516055288
5605,210.48921119822427
5606,210.48921119822427
5607,210.48921119822427
5608,210.48921119822427
5609,210.48921119822427
5610,210.48921119822427
5611,210.48921119822427
5612,210.48921119822427
5613,210.48921119822427
5614,210.48921119822427
5615,210.48921119822427
5616,277.59332730206296
5617,352.8090062354578
5618,425.1176492817676
5619,500.7749315063023
5620,573.2411976801986
5621,573.2411976801986
5622,573.2411976801986
5623,573.2411976801986
5624,531.3633689035164
5625,531.3633689035164
5626,531.3633689035164
5627,530.6696299236123
5628,530.6696299236123
5629,530.6696299236123
5630,530.6696299236123
5631,528.2796580871172
5632,528.2796580871172
5633,528.2796580871172
5634,528.2796580871172
5635,528.2796580871172
5636,528.2796580871172
5637,528.2796580871172
5638,528.2796580871172
5639,528.2796580871172
5640,528.2796580871172
5641,528.2796580871172
5642,528.2796580871172
5643,528.2796580871172
5644,528.2796580871172
5645,528.2796580871172
5646,528.2796580871172
5647,528.2796580871172
5648,526.1263090528156
5649,526.1263090528156
5650,526.1263090528156
5651,501.32631632710047
5652,464.9612126287255
5653,464.9612126287255
5654,464.9612126287255
5655,464.9612126287255
5656,464.9612126287255
5657,464.9612126287255
5658,464.9612126287255
5659,464.9612126287255
5660,464.9612126287255
5661,464.9612126287255
5662,464.9612126287255
5663,464.9612126287255
5664,464.9612126287255
5665,464.9612126287255
5666,464.9612126287255
5667,464.9612126287255
5668,464.9612126287255
5669,464.9612126287255
5670,464.9612126287255
5671,419.6721048030511
5672,310.55320974333426
5673,232.46005232046093
5674,190.32751038467595
5675,150.60866826948075
5676,150.60866826948075
5677,150.60866826948075
5678,140.13035077156246
5679,140.13035077156246
5680,140.13035077156246
5681,140.13035077156246
5682,140.13035077156246
5683,140.13035077156246
5684,140.13035077156246
5685,140.13035077156246
5686,140.13035077156246
5687,140.13035077156246
5688,140.13035077156246
5689,140.13035077156246
5690,140.13035077156246
5691,140.13035077156246
5692,140.13035077156246
5693,140.13035077156246
5694,140.13035077156246
5695,140.13035077156246
5696,140.13035077156246
5697,140.13035077156246
5698,140.13035077156246
5699,140.13035077156246
5700,140.13035077156246
5701,140.13035077156246
5702,140.13035077156246
5703,140.13035077156246
5704,140.13035077156246
5705,140.13035077156246
5706,140.13035077156246
5707,140.13035077156246
5708,140.13035077156246
5709,140.13035077156246
5710,140.13035077156246
5711,140.13035077156246
5712,140.13035077156246
5713,140.13035077156246
5714,140.13035077156246
5715,140.13035077156246
5716,140.13035077156246
5717,140.13035077156246
5718,140.13035077156246
5719,140.13035077156246
5720,140.13035077156246
5721,140.13035077156246
5722,140.13035077156246
5723,140.13035077156246
5724,140.13035077156246
5725,140.13035077156246
5726,140.13035077156246
5727,140.13035077156246
5728,140.13035077156246
5729,140.13035077156246
5730,140.13035077156246
5731,140.13035077156246
5732,140.13035077156246
5733,140.13035077156246
5734,140.13035077156246
5735,140.13035077156246
5736,140.13035077156246
5737,140.13035077156246
5738,140.13035077156246
5739,140.13035077156246
5740,140.13035077156246
5741,140.13035077156246
5742,140.13035077156246
5743,140.13035077156246
5744,76.30056353751992
5745,53.86398282564884
5746,53.86398282564884
5747,53.86398282564884
5748,46.302912462316634
5749,31.659466093042184
5750,13.89646822744056
5751,13.89646822744056
5752,13.89646822744056
5753,13.89646822744056
5754,13.89646822744056
5755,0.0
5756,0.0
5757,0.0
5758,0.0
5759,0.0
5760,0.0
