time,price
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,25.57142857142857
17,25.57142857142857
18,25.57142857142857
19,25.57142857142857
20,25.57142857142857
21,25.57142857142857
22,25.57142857142857
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,15.878151260504197
31,35.26470588235294
32,35.26470588235294
33,35.26470588235294
34,35.26470588235294
35,39.830882352941174
36,41.92948717948718
37,36.40625
38,36.40625
39,36.40625
40,36.40625
41,41.92948717948718
42,41.92948717948718
43,41.92948717948718
44,35.26470588235294
45,35.26470588235294
46,35.26470588235294
47,25.57142857142857
48,25.57142857142857
49,25.57142857142857
50,25.57142857142857
51,25.57142857142857
52,25.57142857142857
53,25.57142857142857
54,25.57142857142857
55,35.26470588235294
56,41.92948717948718
57,36.40625
58,36.40625
59,36.40625
60,36.40625
61,36.40625
62,36.40625
63,35.26470588235294
64,40.46032571032572
65,43.398648648648646
66,41.92948717948718
67,43.398648648648646
68,35.26470588235294
69,30.555395468998412
70,25.57142857142857
71,25.57142857142857
72,25.57142857142857
73,25.57142857142857
74,0.0
75,0.0
76,25.57142857142857
77,25.57142857142857
78,25.57142857142857
79,40.248672779922785
80,43.398648648648646
81,39.20281717156719
82,43.398648648648646
83,43.398648648648646
84,43.398648648648646
85,43.398648648648646
86,43.398648648648646
87,37.52200277200279
88,40.46032571032572
89,43.398648648648646
90,43.398648648648646
91,43.398648648648646
92,38.991164241164256
93,35.26470588235294
94,36.10442399412986
95,35.26470588235294
96,25.57142857142857
97,25.57142857142857
98,25.57142857142857
99,35.26470588235294
100,34.9628798764828
101,35.26470588235294
102,38.991164241164256
103,43.398648648648646
104,43.398648648648646
105,41.92948717948718
106,41.92948717948718
107,41.92948717948718
108,41.92948717948718
109,41.92948717948718
110,41.92948717948718
111,41.92948717948718
112,40.46032571032572
113,43.398648648648646
114,43.398648648648646
115,43.398648648648646
116,38.991164241164256
117,35.26470588235294
118,35.26470588235294
119,35.26470588235294
120,25.57142857142857
121,25.57142857142857
122,25.57142857142857
123,25.57142857142857
124,25.57142857142857
125,25.57142857142857
126,25.57142857142857
127,25.57142857142857
128,35.26470588235294
129,36.40625
130,36.40625
131,36.40625
132,35.26470588235294
133,35.26470588235294
134,35.26470588235294
135,32.024556938159876
136,35.26470588235294
137,41.92948717948718
138,36.40625
139,37.54779411764706
140,35.26470588235294
141,35.26470588235294
142,35.26470588235294
143,25.57142857142857
144,25.57142857142857
145,25.57142857142857
146,25.57142857142857
147,25.57142857142857
148,25.57142857142857
149,0.0
150,0.0
151,25.57142857142857
152,25.57142857142857
153,25.57142857142857
154,25.57142857142857
155,35.26470588235294
156,25.57142857142857
157,25.57142857142857
158,25.57142857142857
159,25.57142857142857
160,25.57142857142857
161,36.40625
162,36.40625
163,35.26470588235294
164,25.57142857142857
165,25.57142857142857
166,25.57142857142857
167,25.57142857142857
168,25.57142857142857
