time,load
1,1558.604923
2,1505.936845
3,1458.72067
4,1425.134253
5,1393.432445
6,1341.06725
7,1351.903749
8,1379.735379
9,1458.956246
10,1538.412688
11,1613.123956
12,1640.282511
13,1611.946075
14,1597.340359
15,1613.090302
16,1693.657317
17,1840.051017
18,1864.921119
19,1825.512608
20,1757.734008
21,1715.162047
22,1707.455344
23,1617.667208
24,1532.758863
25,1474.840803
26,1451.720695
27,1450.273585
28,1485.138843
29,1584.24906
30,1778.431048
31,1988.060095
32,2119.444234
33,2197.48722
34,2259.410073
35,2310.496426
36,2324.90022
37,2288.75612
38,2253.890862
39,2238.51111
40,2276.573472
41,2379.250984
42,2370.501016
43,2311.203154
44,2183.891116
45,2081.44918
46,2019.559981
47,1888.344111
48,1780.382964
49,1709.40726
50,1666.162225
51,1669.325675
52,1702.440939
53,1786.575249
54,1967.49767
55,2161.915234
56,2272.568679
57,2325.102142
58,2377.702913
59,2414.015281
60,2408.7653
61,2385.611538
62,2353.606846
63,2345.0588
64,2382.246165
65,2472.067955
66,2451.875721
67,2388.404797
68,2258.703344
69,2148.588359
70,2070.107875
71,1938.454506
72,1833.656809
73,1763.35418
74,1722.229329
75,1727.613925
76,1759.786885
77,1841.935626
78,2033.088778
79,2227.405381
80,2330.554045
81,2369.72698
82,2415.765275
83,2458.303582
84,2455.241093
85,2426.164275
86,2391.366325
87,2369.121213
88,2390.726904
89,2475.298713
90,2451.404568
91,2385.81346
92,2253.587978
93,2153.367188
94,2079.19438
95,1947.103513
96,1838.873137
97,1770.051271
98,1740.738877
99,1737.474466
100,1775.604135
101,1858.627873
102,2033.896468
103,2223.770779
104,2314.33295
105,2342.198234
106,2368.515446
107,2388.808642
108,2384.198081
109,2354.145306
110,2321.501194
111,2306.28971
112,2338.328056
113,2463.721831
114,2455.779553
115,2391.265364
116,2273.174446
117,2177.429601
118,2121.328843
119,2001.757161
120,1927.382431
121,1858.897103
122,1811.748235
123,1798.42136
124,1806.565562
125,1853.680775
126,1958.781356
127,2109.886577
128,2193.516081
129,2225.621734
130,2249.98703
131,2269.035038
132,2252.006253
133,2198.463178
134,2161.444082
135,2161.107545
136,2220.70829
137,2363.602002
138,2369.424097
139,2310.126235
140,2204.924693
141,2128.025934
142,2098.410657
143,2011.449434
144,1925.161285
145,1848.464448
146,1789.839661
147,1753.931137
148,1735.051398
149,1728.859113
150,1722.06106
151,1815.820336
152,1945.488135
153,2058.059842
154,2126.141325
155,2160.7037
156,2148.588359
157,2106.689473
158,2072.800173
159,2067.684807
160,2117.122127
161,2220.910212
162,2217.511186
163,2142.732611
164,2025.617652
165,1952.117918
166,1936.940089
167,1846.411571
168,1748.815771
