time,unit,demand_ptg
1,1,0.0
1,2,101.39690790564619
1,3,4.722017299625458
1,4,11.051529850187226
2,1,0.0
2,2,78.72150363975332
2,3,10.824713401341556
2,4,26.3342207993293
3,1,0.0
3,2,58.23137095475515
3,3,16.118062878965926
3,4,38.59563356051707
4,1,0.0
4,2,57.81548872979086
4,3,24.664769540418312
4,4,19.520571308721234
5,1,0.0
5,2,67.28685636737579
5,3,0.0
5,4,0.0
6,1,0.0
6,2,24.924881808049438
6,3,0.0
6,4,0.0
7,1,0.0
7,2,33.715190586884056
7,3,0.0
7,4,0.0
8,1,0.0
8,2,56.16363960718203
8,3,0.0
8,4,0.0
9,1,0.0
9,2,53.02338377382204
9,3,24.607926778010498
9,4,52.58916480144082
10,1,0.0
10,2,81.6629963290909
10,3,12.428896831168878
10,4,28.167263232767368
11,1,0.0
11,2,94.65257166449649
11,3,3.08122366917295
11,4,8.563989315789545
12,1,0.0
12,2,87.8624935608276
12,3,2.1196072409638553
12,4,6.332653732262372
13,1,0.0
13,2,77.8786143625254
13,3,5.877399724305238
13,4,16.999968923687668
14,1,0.0
14,2,78.28949328574876
14,3,8.489953173913046
14,4,21.22488293478262
15,1,0.0
15,2,97.65700700286457
15,3,7.639011517985617
15,4,14.907764824640314
16,1,0.0
16,2,129.95246032553683
16,3,0.0
16,4,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
21,1,0.0
21,2,156.38039151828352
21,3,0.0
21,4,0.0
22,1,0.0
22,2,158.93889095792917
22,3,0.0
22,4,0.0
23,1,0.0
23,2,122.34150127981856
23,3,18.100016381262694
23,4,33.43138780936861
24,1,0.0
24,2,83.04171748179274
24,3,37.358891298748475
24,4,68.45612285062575
25,1,0.0
25,2,92.52464279456436
25,3,50.29299095913322
25,4,0.0
26,1,0.0
26,2,101.4246392270917
26,3,16.081725570693585
26,4,0.0
27,1,0.0
27,2,101.81685208233895
27,3,14.076109262057523
27,4,0.0
28,1,0.0
28,2,86.8947122904648
28,3,51.90173241907055
28,4,16.143083122452563
29,1,0.0
29,2,106.23508180379342
29,3,27.20169719269775
29,4,46.58962140365108
30,1,0.0
30,2,161.11997890597178
30,3,0.0
30,4,0.0
31,1,0.0
31,2,0.0
31,3,0.0
31,4,0.0
32,1,0.0
32,2,0.0
32,3,0.0
32,4,0.0
33,1,0.0
33,2,0.0
33,3,0.0
33,4,0.0
34,1,0.0
34,2,0.0
34,3,0.0
34,4,0.0
35,1,0.0
35,2,0.0
35,3,0.0
35,4,0.0
36,1,0.0
36,2,0.0
36,3,0.0
36,4,0.0
37,1,0.0
37,2,0.0
37,3,0.0
37,4,0.0
38,1,0.0
38,2,0.0
38,3,0.0
38,4,0.0
39,1,0.0
39,2,0.0
39,3,0.0
39,4,0.0
40,1,0.0
40,2,0.0
40,3,0.0
40,4,0.0
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
42,1,0.0
42,2,0.0
42,3,0.0
42,4,0.0
43,1,0.0
43,2,0.0
43,3,0.0
43,4,0.0
44,1,0.0
44,2,0.0
44,3,0.0
44,4,0.0
45,1,0.0
45,2,0.0
45,3,0.0
45,4,0.0
46,1,0.0
46,2,0.0
46,3,0.0
46,4,0.0
47,1,0.0
47,2,0.0
47,3,0.0
47,4,0.0
48,1,0.0
48,2,0.0
48,3,0.0
48,4,0.0
49,1,0.0
49,2,0.0
49,3,0.0
49,4,0.0
50,1,0.0
50,2,0.0
50,3,0.0
50,4,0.0
51,1,0.0
51,2,0.0
51,3,0.0
51,4,0.0
52,1,0.0
52,2,0.0
52,3,0.0
52,4,0.0
53,1,0.0
53,2,0.0
53,3,0.0
53,4,0.0
54,1,0.0
54,2,0.0
54,3,0.0
54,4,0.0
55,1,0.0
55,2,0.0
55,3,0.0
55,4,0.0
56,1,0.0
56,2,0.0
56,3,0.0
56,4,0.0
57,1,0.0
57,2,0.0
57,3,0.0
57,4,0.0
58,1,0.0
58,2,0.0
58,3,0.0
58,4,0.0
59,1,0.0
59,2,0.0
59,3,0.0
59,4,0.0
60,1,0.0
60,2,0.0
60,3,0.0
60,4,0.0
61,1,0.0
61,2,0.0
61,3,0.0
61,4,0.0
62,1,0.0
62,2,0.0
62,3,0.0
62,4,0.0
63,1,0.0
63,2,0.0
63,3,0.0
63,4,0.0
64,1,0.0
64,2,0.0
64,3,0.0
64,4,0.0
65,1,0.0
65,2,0.0
65,3,0.0
65,4,0.0
66,1,0.0
66,2,0.0
66,3,0.0
66,4,0.0
67,1,0.0
67,2,0.0
67,3,0.0
67,4,0.0
68,1,0.0
68,2,0.0
68,3,0.0
68,4,0.0
69,1,0.0
69,2,0.0
69,3,0.0
69,4,0.0
70,1,0.0
70,2,0.0
70,3,0.0
70,4,0.0
71,1,0.0
71,2,0.0
71,3,0.0
71,4,0.0
72,1,0.0
72,2,0.0
72,3,0.0
72,4,0.0
73,1,0.0
73,2,180.1312383058526
73,3,0.0
73,4,0.0
74,1,0.0
74,2,165.9799253138801
74,3,7.995735610471644
74,4,10.002467694764228
75,1,0.0
75,2,169.3225320566288
75,3,4.5034496148065095
75,4,5.856312692596788
76,1,0.0
76,2,171.0029494429
76,3,0.0
76,4,0.0
77,1,0.0
77,2,0.0
77,3,0.0
77,4,0.0
78,1,0.0
78,2,0.0
78,3,0.0
78,4,0.0
79,1,0.0
79,2,0.0
79,3,0.0
79,4,0.0
80,1,0.0
80,2,0.0
80,3,0.0
80,4,0.0
81,1,0.0
81,2,0.0
81,3,0.0
81,4,0.0
82,1,0.0
82,2,0.0
82,3,0.0
82,4,0.0
83,1,0.0
83,2,0.0
83,3,0.0
83,4,0.0
84,1,0.0
84,2,0.0
84,3,0.0
84,4,0.0
85,1,0.0
85,2,0.0
85,3,0.0
85,4,0.0
86,1,0.0
86,2,0.0
86,3,0.0
86,4,0.0
87,1,0.0
87,2,0.0
87,3,0.0
87,4,0.0
88,1,0.0
88,2,0.0
88,3,0.0
88,4,0.0
89,1,0.0
89,2,0.0
89,3,0.0
89,4,0.0
90,1,0.0
90,2,0.0
90,3,0.0
90,4,0.0
91,1,0.0
91,2,0.0
91,3,0.0
91,4,0.0
92,1,0.0
92,2,0.0
92,3,0.0
92,4,0.0
93,1,0.0
93,2,0.0
93,3,0.0
93,4,0.0
94,1,0.0
94,2,0.0
94,3,0.0
94,4,0.0
95,1,0.0
95,2,0.0
95,3,0.0
95,4,0.0
96,1,0.0
96,2,0.0
96,3,0.0
96,4,0.0
97,1,0.0
97,2,0.0
97,3,0.0
97,4,0.0
98,1,0.0
98,2,0.0
98,3,0.0
98,4,0.0
99,1,0.0
99,2,0.0
99,3,0.0
99,4,0.0
100,1,0.0
100,2,0.0
100,3,0.0
100,4,0.0
101,1,0.0
101,2,0.0
101,3,0.0
101,4,0.0
102,1,0.0
102,2,0.0
102,3,0.0
102,4,0.0
103,1,0.0
103,2,0.0
103,3,0.0
103,4,0.0
104,1,0.0
104,2,0.0
104,3,0.0
104,4,0.0
105,1,0.0
105,2,0.0
105,3,0.0
105,4,0.0
106,1,0.0
106,2,0.0
106,3,0.0
106,4,0.0
107,1,0.0
107,2,0.0
107,3,0.0
107,4,0.0
108,1,0.0
108,2,0.0
108,3,0.0
108,4,0.0
109,1,0.0
109,2,0.0
109,3,0.0
109,4,0.0
110,1,0.0
110,2,0.0
110,3,0.0
110,4,0.0
111,1,0.0
111,2,0.0
111,3,0.0
111,4,0.0
112,1,0.0
112,2,0.0
112,3,0.0
112,4,0.0
113,1,0.0
113,2,0.0
113,3,0.0
113,4,0.0
114,1,0.0
114,2,0.0
114,3,0.0
114,4,0.0
115,1,0.0
115,2,0.0
115,3,0.0
115,4,0.0
116,1,0.0
116,2,0.0
116,3,0.0
116,4,0.0
117,1,0.0
117,2,0.0
117,3,0.0
117,4,0.0
118,1,0.0
118,2,0.0
118,3,0.0
118,4,0.0
119,1,0.0
119,2,0.0
119,3,0.0
119,4,0.0
120,1,0.0
120,2,0.0
120,3,0.0
120,4,0.0
121,1,0.0
121,2,0.0
121,3,0.0
121,4,0.0
122,1,0.0
122,2,0.0
122,3,0.0
122,4,0.0
123,1,0.0
123,2,0.0
123,3,0.0
123,4,0.0
124,1,0.0
124,2,0.0
124,3,0.0
124,4,0.0
125,1,0.0
125,2,0.0
125,3,0.0
125,4,0.0
126,1,0.0
126,2,0.0
126,3,0.0
126,4,0.0
127,1,0.0
127,2,0.0
127,3,0.0
127,4,0.0
128,1,0.0
128,2,0.0
128,3,0.0
128,4,0.0
129,1,0.0
129,2,0.0
129,3,0.0
129,4,0.0
130,1,0.0
130,2,0.0
130,3,0.0
130,4,0.0
131,1,0.0
131,2,0.0
131,3,0.0
131,4,0.0
132,1,0.0
132,2,0.0
132,3,0.0
132,4,0.0
133,1,0.0
133,2,0.0
133,3,0.0
133,4,0.0
134,1,0.0
134,2,0.0
134,3,0.0
134,4,0.0
135,1,0.0
135,2,0.0
135,3,0.0
135,4,0.0
136,1,0.0
136,2,0.0
136,3,0.0
136,4,0.0
137,1,0.0
137,2,0.0
137,3,0.0
137,4,0.0
138,1,0.0
138,2,0.0
138,3,0.0
138,4,0.0
139,1,0.0
139,2,0.0
139,3,0.0
139,4,0.0
140,1,0.0
140,2,0.0
140,3,0.0
140,4,0.0
141,1,0.0
141,2,0.0
141,3,0.0
141,4,0.0
142,1,0.0
142,2,0.0
142,3,0.0
142,4,0.0
143,1,0.0
143,2,0.0
143,3,0.0
143,4,0.0
144,1,0.0
144,2,0.0
144,3,0.0
